"fornavn";"år";"Andel av fødte (prosent)"
"Adele";"1973";0.014
"Adele";"1974";0.011
"Adele";"1975";0.011
"Adele";"1976";0.012
"Adele";"1977";0.012
"Adele";"1978";.
"Adele";"1979";0.012
"Adele";"1980";.
"Adele";"1981";.
"Adele";"1982";0.017
"Adele";"1983";.
"Adele";"1984";0.014
"Adele";"1985";.
"Adele";"1986";0.011
"Adele";"1987";0.016
"Adele";"1988";0.010
"Adele";"1989";.
"Adele";"1990";0.018
"Adele";"1991";.
"Adele";"1992";0.014
"Adele";"1993";0.025
"Adele";"1994";0.028
"Adele";"1995";0.014
"Adele";"1996";0.046
"Adele";"1997";0.039
"Adele";"1998";0.052
"Adele";"1999";0.046
"Adele";"2000";0.034
"Adele";"2001";0.076
"Adele";"2002";0.115
"Adele";"2003";0.095
"Adele";"2004";0.152
"Adele";"2005";0.142
"Adele";"2006";0.127
"Adele";"2007";0.134
"Adele";"2008";0.182
"Adele";"2009";0.150
"Adele";"2010";0.143
"Adele";"2011";0.185
"Adele";"2012";0.243
"Adele";"2013";0.223
"Adele";"2014";0.151
"Adele";"2015";0.145
"Adele";"2016";0.116
"Adele";"2017";0.090
"Adele";"2018";0.139
"Adele";"2019";0.138
"Adele";"2020";0.076
"Adelen";"1880";0.000
"Adelen";"1881";0.000
"Adelen";"1882";0.000
"Adelen";"1883";0.000
"Adelen";"1884";0.000
"Adelen";"1885";0.000
"Adelen";"1886";0.000
"Adelen";"1887";0.000
"Adelen";"1888";0.000
"Adelen";"1889";0.000
"Adelen";"1890";0.000
"Adelen";"1891";0.000
"Adelen";"1892";0.000
"Adelen";"1893";0.000
"Adelen";"1894";0.000
"Adelen";"1895";0.000
"Adelen";"1896";0.000
"Adelen";"1897";0.000
"Adelen";"1898";0.000
"Adelen";"1899";0.000
"Adelen";"1900";0.000
"Adelen";"1901";0.000
"Adelen";"1902";0.000
"Adelen";"1903";0.000
"Adelen";"1904";0.000
"Adelen";"1905";0.000
"Adelen";"1906";0.000
"Adelen";"1907";0.000
"Adelen";"1908";0.000
"Adelen";"1909";0.000
"Adelen";"1910";0.000
"Adelen";"1911";0.000
"Adelen";"1912";0.000
"Adelen";"1913";0.000
"Adelen";"1914";0.000
"Adelen";"1915";0.000
"Adelen";"1916";0.000
"Adelen";"1917";0.000
"Adelen";"1918";0.000
"Adelen";"1919";0.000
"Adelen";"1920";0.000
"Adelen";"1921";0.000
"Adelen";"1922";0.000
"Adelen";"1923";0.000
"Adelen";"1924";0.000
"Adelen";"1925";0.000
"Adelen";"1926";0.000
"Adelen";"1927";0.000
"Adelen";"1928";0.000
"Adelen";"1929";0.000
"Adelen";"1930";0.000
"Adelen";"1931";0.000
"Adelen";"1932";0.000
"Adelen";"1933";0.000
"Adelen";"1934";0.000
"Adelen";"1935";0.000
"Adelen";"1936";0.000
"Adelen";"1937";0.000
"Adelen";"1938";0.000
"Adelen";"1939";0.000
"Adelen";"1940";0.000
"Adelen";"1941";0.000
"Adelen";"1942";0.000
"Adelen";"1943";0.000
"Adelen";"1944";0.000
"Adelen";"1945";.
"Adelen";"1946";.
"Adelen";"1947";.
"Adelen";"1948";.
"Adelen";"1949";.
"Adelen";"1950";.
"Adelen";"1951";.
"Adelen";"1952";.
"Adelen";"1953";.
"Adelen";"1954";.
"Adelen";"1955";.
"Adelen";"1956";.
"Adelen";"1957";.
"Adelen";"1958";.
"Adelen";"1959";.
